title,year,budget,revenue,vote_average,vote_count,popularity,female_ratio,female_director,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
No Reservations,2007.0,28000000,92601050,6.1,327,15.794946,0.6470588235294118,0,3.0,6.3,79009.0,104,Comedy,Drama,Romance
Kick-Ass,2010.0,28000000,96188903,7.1,4645,45.054936,0.19230769230769232,0,1.0,7.6,594901.0,117,Action,Comedy,Crime
30 Minutes or Less,2011.0,28000000,40547440,5.6,531,25.039383,0.4,0,1.0,6.1,106786.0,83,Action,Comedy,Crime
Dracula 2000,2000.0,28000000,33000337,4.6,148,6.756771,0.3076923076923077,0,,,,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,28000000,100654149,6.1,493,22.14595,0.45714285714285713,0,,,,,,,
Pride & Prejudice,2005.0,28000000,121147947,7.7,1358,36.58383,0.5789473684210527,0,,,,,,,
Blade Runner,1982.0,28000000,33139618,7.9,3509,94.056131,0.2631578947368421,0,1.0,8.1,825055.0,117,Action,Drama,Sci-Fi
Rob Roy,1995.0,28000000,31596911,6.5,148,10.703456,0.20833333333333334,0,0.0,6.9,45785.0,139,Adventure,Biography,Drama
3 Days to Kill,2014.0,28000000,52597999,6.0,883,41.638961,0.1875,0,3.0,6.2,97784.0,117,Action,Drama,Thriller
We Own the Night,2007.0,21000000,54926886,6.5,323,14.518708,0.22826086956521738,0,0.0,6.8,93183.0,117,Action,Crime,Drama
Winged Migration,2001.0,35866397,20217080,7.0,49,3.75074,0.0,0,,,,,,,
Just My Luck,2006.0,28000000,38159905,5.8,491,22.074306,0.4090909090909091,0,,,,,,,
"Mystery, Alaska",1999.0,28000000,8888143,6.0,69,4.436792,0.2222222222222222,0,,,,,,,
The Spy Next Door,2010.0,28000000,45236543,5.5,345,14.639324,0.25,0,,,,,,,
A Simple Wish,1997.0,28000000,8345056,5.5,46,1.767479,0.6666666666666666,0,3.0,5.3,5873.0,89,Comedy,Family,Fantasy
Ghosts of Mars,2001.0,28000000,14010832,4.8,296,13.145205,0.38095238095238093,0,3.0,4.9,58071.0,98,Action,Horror,Sci-Fi
Our Brand Is Crisis,2015.0,28000000,7002261,5.8,195,12.921594,0.35714285714285715,0,,,,,,,
Pride and Prejudice and Zombies,2016.0,28000000,16374328,5.5,640,28.397048,0.5909090909090909,0,3.0,5.8,60616.0,108,Action,Comedy,Fantasy
Kundun,1997.0,28000000,5684789,6.8,91,7.039189,0.0,0,,,,,,,
How to Lose Friends & Alienate People,2008.0,27000000,17286299,6.2,244,16.785866,0.4444444444444444,0,,,,,,,
Kick-Ass 2,2013.0,28000000,60700000,6.3,2224,40.28635,0.36363636363636365,0,3.0,6.5,289091.0,103,Action,Comedy,Crime
Alatriste,2006.0,24000000,23321954,5.6,61,6.009644,0.1875,0,,,,,,,
Brick Mansions,2014.0,28000000,68896829,5.7,615,25.520976,0.08333333333333333,0,3.0,5.6,44160.0,90,Action,Crime,Thriller
Octopussy,1983.0,27500000,187500000,6.2,527,25.633663,0.0963855421686747,0,2.0,6.5,113195.0,131,Action,Adventure,Thriller
Knocked Up,2007.0,30000000,219076518,6.2,1214,22.527211,0.35135135135135137,0,3.0,6.9,385354.0,129,Comedy,Romance,
My Sister's Keeper,2009.0,30000000,95714875,7.1,598,24.09152,0.4375,0,,,,,,,
Welcome Home Roscoe Jenkins,2008.0,35000000,43650785,5.7,57,6.248273,0.4166666666666667,0,,,,,,,
A Passage to India,1984.0,8000000,27187653,6.9,67,9.548391,0.2857142857142857,0,3.0,7.3,20996.0,164,Adventure,Drama,History
Notes on a Scandal,2006.0,15000000,49469904,6.9,235,12.576381,0.43478260869565216,0,3.0,7.4,84767.0,92,Crime,Drama,Romance
Rendition,2007.0,27500000,24748670,6.2,205,12.741073,0.26666666666666666,0,,,,,,,
Star Trek VI: The Undiscovered Country,1991.0,27000000,96900000,6.7,413,16.188572,0.20833333333333334,0,2.0,7.2,81071.0,110,Action,Adventure,Sci-Fi
Kiss the Girls,1997.0,27000000,60527873,6.2,345,18.913,0.3333333333333333,0,2.0,6.6,81417.0,115,Crime,Drama,Mystery
The Blues Brothers,1980.0,27000000,115229890,7.5,1065,44.714264,0.12962962962962962,0,,,,,,,
The Sisterhood of the Traveling Pants 2,2008.0,27000000,44352417,6.0,238,11.870301,0.52,1,,,,,,,
About a Boy,2002.0,27000000,129000000,6.6,607,28.227984,0.5757575757575758,0,2.0,7.1,191906.0,101,Comedy,Drama,Romance
Lake Placid,1999.0,27000000,56870414,5.5,247,11.678561,0.29411764705882354,0,3.0,5.8,65742.0,82,Action,Comedy,Horror
Lucky Number Slevin,2006.0,27000000,56308881,7.4,1323,36.921445,0.11764705882352941,0,1.0,7.7,326146.0,110,Crime,Drama,Thriller
The Right Stuff,1983.0,27000000,21500000,7.3,235,17.567332,0.18181818181818182,0,,,,,,,
Anonymous,2011.0,30000000,15395087,6.3,288,16.698316,0.24358974358974358,0,,,,,,,
The NeverEnding Story,1984.0,27000000,20158808,7.0,1002,47.862016,0.11764705882352941,0,,,,,,,
Dark City,1998.0,27000000,27200316,7.2,828,39.324831,0.1111111111111111,0,1.0,7.6,212817.0,100,Fantasy,Mystery,Sci-Fi
Return to Oz,1985.0,25000000,11137801,6.7,120,5.650125,0.23076923076923078,0,3.0,6.7,30476.0,113,Adventure,Family,Fantasy
The Newton Boys,1998.0,27000000,76000000,5.9,44,3.123583,0.125,0,,,,,,,
Case 39,2009.0,27000000,29000000,6.1,563,23.917982,0.2894736842105263,0,3.0,6.2,93510.0,109,Horror,Mystery,Thriller
Suspect Zero,2004.0,27000000,13000000,5.5,98,8.715822,0.16666666666666666,0,,,,,,,
Spy Kids: All the Time in the World,2011.0,27000000,85564310,4.4,222,14.788073,0.2727272727272727,0,,,,,,,
Money Monster,2016.0,27000000,93282604,6.5,1068,38.279458,0.11320754716981132,1,3.0,6.5,105521.0,98,Action,Crime,Drama
The 51st State,2001.0,28,14,5.9,173,9.670031,0.07692307692307693,0,,,,,,,
Mindhunters,2004.0,27000000,21148829,6.3,333,17.193659,0.2857142857142857,0,1.0,6.3,64333.0,106,Crime,Horror,Thriller
What Just Happened,2008.0,25000000,6673422,5.2,127,8.31653,0.3125,0,,,,,,,
Paul Blart: Mall Cop,2009.0,26000000,183293131,5.2,788,31.250383,0.30327868852459017,0,1.0,5.3,117621.0,91,Action,Comedy,Crime
Freaky Friday,2003.0,26000000,110230332,6.0,879,24.345651,0.29411764705882354,0,3.0,6.3,153127.0,97,Comedy,Family,Fantasy
The 40 Year Old Virgin,2005.0,26000000,109449237,6.2,1983,38.473732,0.5970149253731343,0,,,,,,,
Shakespeare in Love,1998.0,25000000,289317794,6.8,796,31.792964,0.2,0,3.0,7.1,234692.0,123,Comedy,Drama,History
A Walk Among the Tombstones,2014.0,28000000,53181600,6.2,1131,61.309619,0.22916666666666666,0,1.0,6.5,127498.0,114,Action,Crime,Drama
Kindergarten Cop,1990.0,15000000,201957688,5.8,628,5.411154,0.3411764705882353,0,3.0,6.2,163094.0,111,Action,Comedy,Crime
Pineapple Express,2008.0,27000000,101624843,6.6,1148,41.832392,0.18421052631578946,0,2.0,6.9,358214.0,111,Action,Comedy,Crime
Ever After: A Cinderella Story,1998.0,26000000,65705772,6.8,399,21.988861,0.28,0,,,,,,,
Open Range,2003.0,22000000,68296293,7.0,262,19.068175,0.06666666666666667,0,,,,,,,
Flatliners,1990.0,26000000,61489265,6.3,404,24.114459,0.3157894736842105,0,3.0,6.5,93673.0,115,Drama,Horror,Sci-Fi
A Bridge Too Far,1977.0,22000000,50750000,6.9,207,20.256571,0.030303030303030304,0,1.0,7.4,61744.0,175,Drama,History,War
Red Eye,2005.0,26000000,57891803,6.2,455,8.802626,0.4166666666666667,0,3.0,6.5,142297.0,85,Thriller,,
Final Destination 2,2003.0,26000000,90426405,5.9,1023,37.355826,0.3333333333333333,0,3.0,6.2,182517.0,90,Horror,Thriller,
"O Brother, Where Art Thou?",2000.0,26000000,71868327,7.3,1112,39.742009,0.13043478260869565,0,0.0,7.7,331724.0,107,Comedy,Crime,Drama
Legion,2010.0,26000000,67918658,5.2,629,30.981604,0.26666666666666666,0,3.0,5.3,112263.0,100,Action,Fantasy,Horror
Pain & Gain,2013.0,25000000,86175291,6.1,1573,31.893932,0.08,0,,,,,,,
Clockstoppers,2002.0,26000000,38793283,4.9,89,5.894163,0.25,0,,,,,,,
Brothers,2009.0,26000000,43318349,6.8,633,22.07638,0.25,0,3.0,7.1,147643.0,105,Drama,Thriller,War
Agent Cody Banks 2: Destination London,2004.0,26000000,28818995,5.2,144,10.925618,0.1875,0,,,,,,,
New Year's Eve,2011.0,56000000,142044638,5.7,718,21.219292,0.42857142857142855,0,,,,,,,
Original Sin,2001.0,42000000,35402320,5.8,198,14.831402,0.4,0,1.0,6.0,59897.0,116,Drama,Mystery,Romance
The Raven,2012.0,26000000,29657751,6.1,426,22.520842,0.18181818181818182,0,,,,,,,
Welcome to Mooseport,2004.0,30000000,14000000,4.8,54,3.314094,0.4,0,,,,,,,
